query,response,label
"Apa yang harus saya pakai untuk pernikahan?","Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4
"Rekomendasi pakaian untuk pernikahan?","Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.",4
"Apa yang cocok untuk cuaca panas?","Untuk cuaca panas, coba kenakan kaos katun dengan celana pendek dan sandal.",8
"Rekomendasi pakaian untuk cuaca panas?","Dress ringan dengan bahan yang menyerap keringat akan nyaman untuk cuaca panas.",8
"Apa yang cocok untuk musim dingin?","Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
"Rekomendasi pakaian untuk musim dingin?","Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.",9
"Apa yang harus saya pakai untuk pernikahan?","Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4
"Rekomendasi pakaian untuk pernikahan?","Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.",4
"Apa yang cocok untuk cuaca panas?","Untuk cuaca panas, coba kenakan kaos katun dengan celana pendek dan sandal.",8
"Rekomendasi pakaian untuk cuaca panas?","Dress ringan dengan bahan yang menyerap keringat akan nyaman untuk cuaca panas.",8
"Apa yang cocok untuk musim dingin?","Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
"Rekomendasi pakaian untuk musim dingin?","Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.",9
"Apa yang harus saya pakai saat hujan?","Untuk cuaca hujan, kenakan jas hujan dengan sepatu tahan air dan payung.",10
"Rekomendasi pakaian untuk cuaca hujan?","Jaket tahan air dengan celana panjang dan sepatu boot akan cocok untuk cuaca hujan.",10
"Pakaian yang cocok untuk cuaca berangin?","Untuk cuaca berangin, kenakan jaket windbreaker dengan celana panjang dan sepatu tertutup.",11
"Rekomendasi pakaian untuk cuaca berangin?","Sweater dengan jaket windbreaker dan celana jeans akan nyaman untuk cuaca berangin.",11
"Apa yang cocok untuk musim panas?","Untuk musim panas, coba kenakan kaos ringan dengan celana pendek dan sandal.",8
"Rekomendasi pakaian untuk musim panas?","Dress musim panas dengan bahan yang menyerap keringat akan nyaman.",8
"Apa yang cocok untuk musim dingin?","Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
"Rekomendasi pakaian untuk musim dingin?","Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.",9
"Apa yang harus saya pakai di musim semi?","Untuk musim semi, kenakan jaket ringan dengan kaos dan celana jeans.",14
"Rekomendasi pakaian untuk musim semi?","Dress dengan motif bunga dan jaket ringan akan cocok untuk musim semi.",14
"Pakaian yang cocok untuk musim gugur?","Untuk musim gugur, kenakan sweater dengan celana panjang dan sepatu boot.",15
"Rekomendasi pakaian untuk musim gugur?","Jaket kulit dengan kaos dan celana jeans akan cocok untuk musim gugur.",15
"Rekomendasi jaket untuk musim dingin?","Untuk musim dingin, saya sarankan jaket puffer yang tebal dan hangat.",9
"Jaket apa yang cocok untuk cuaca berangin?","Jaket windbreaker akan melindungi Anda dari angin dan tetap nyaman.",11
"Sepatu apa yang cocok untuk acara formal?","Untuk acara formal, kenakan sepatu pantofel hitam yang elegan.",0
"Rekomendasi sepatu untuk jalan-jalan?","Sepatu sneakers akan nyaman dan stylish untuk jalan-jalan.",2
"Aksesoris apa yang cocok untuk gaun ini?","Kenakan kalung sederhana dan anting-anting kecil untuk melengkapi gaun Anda.",3
"Rekomendasi aksesoris untuk acara formal?","Jam tangan elegan dan gelang tipis akan menambah kesan profesional pada penampilan Anda.",0
"Apa yang harus saya pakai untuk pernikahan?","Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4
"Rekomendasi pakaian untuk pernikahan?","Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.",4
"Pakaian apa yang cocok untuk pernikahan di luar ruangan?","Untuk pernikahan di luar ruangan, kenakan dress flowy dengan bahan ringan dan sepatu wedges.",4
"Apa yang harus saya pakai untuk pesta?","Untuk pesta, coba kenakan dress berwarna cerah dengan aksesoris yang mencolok.",5
"Rekomendasi pakaian untuk pesta?","Kemeja kasual dengan celana jeans dan sepatu sneakers akan cocok untuk pesta santai.",5
"Pakaian apa yang cocok untuk pesta malam?","Untuk pesta malam, kenakan dress hitam dengan aksesoris berkilau dan sepatu hak tinggi.",5
