query,response,label
Apa yang cocok untuk cuaca panas?,"Untuk cuaca panas, coba kenakan kaos katun dengan celana pendek dan sandal.",8
Rekomendasi pakaian untuk musim panas?,Dress musim panas dengan bahan yang menyerap keringat akan nyaman.,8
Rekomendasi pakaian untuk cuaca panas?,Dress ringan dengan bahan yang menyerap keringat akan nyaman untuk cuaca panas.,8
Rekomendasi pakaian untuk pesta?,Kemeja kasual dengan celana jeans dan sepatu sneakers akan cocok untuk pesta santai.,5
Apa yang harus saya pakai untuk pernikahan?,"Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4
Apa yang cocok untuk musim dingin?,"Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
Rekomendasi aksesoris untuk acara formal?,Jam tangan elegan dan gelang tipis akan menambah kesan profesional pada penampilan Anda.,0
Rekomendasi pakaian untuk cuaca berangin?,Sweater dengan jaket windbreaker dan celana jeans akan nyaman untuk cuaca berangin.,11
Rekomendasi pakaian untuk musim dingin?,Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.,9
Rekomendasi pakaian untuk musim dingin?,Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.,9
Rekomendasi pakaian untuk musim dingin?,Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.,9
Rekomendasi pakaian untuk pernikahan?,Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.,4
Rekomendasi jaket untuk musim dingin?,"Untuk musim dingin, saya sarankan jaket puffer yang tebal dan hangat.",9
Apa yang cocok untuk cuaca panas?,"Untuk cuaca panas, coba kenakan kaos katun dengan celana pendek dan sandal.",8
Apa yang harus saya pakai untuk pesta?,"Untuk pesta, coba kenakan dress berwarna cerah dengan aksesoris yang mencolok.",5
Rekomendasi pakaian untuk cuaca panas?,Dress ringan dengan bahan yang menyerap keringat akan nyaman untuk cuaca panas.,8
Pakaian apa yang cocok untuk pernikahan di luar ruangan?,"Untuk pernikahan di luar ruangan, kenakan dress flowy dengan bahan ringan dan sepatu wedges.",4
Rekomendasi pakaian untuk musim gugur?,Jaket kulit dengan kaos dan celana jeans akan cocok untuk musim gugur.,15
Rekomendasi sepatu untuk jalan-jalan?,Sepatu sneakers akan nyaman dan stylish untuk jalan-jalan.,2
Apa yang cocok untuk musim dingin?,"Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
Pakaian yang cocok untuk musim gugur?,"Untuk musim gugur, kenakan sweater dengan celana panjang dan sepatu boot.",15
Apa yang cocok untuk musim dingin?,"Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9
Jaket apa yang cocok untuk cuaca berangin?,Jaket windbreaker akan melindungi Anda dari angin dan tetap nyaman.,11
Apa yang harus saya pakai untuk pernikahan?,"Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4
Apa yang harus saya pakai di musim semi?,"Untuk musim semi, kenakan jaket ringan dengan kaos dan celana jeans.",14
Rekomendasi pakaian untuk pernikahan?,Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.,4
Pakaian yang cocok untuk cuaca berangin?,"Untuk cuaca berangin, kenakan jaket windbreaker dengan celana panjang dan sepatu tertutup.",11
Aksesoris apa yang cocok untuk gaun ini?,Kenakan kalung sederhana dan anting-anting kecil untuk melengkapi gaun Anda.,3
