query,response,label,gender,skin_tone
Apa yang harus saya pakai untuk pernikahan?,"Untuk pernikahan, saya sarankan dress formal dengan warna pastel dan sepatu hak tinggi.",4,neutral,neutral
Rekomendasi pakaian untuk pernikahan?,Setelan jas dengan dasi dan sepatu formal akan cocok untuk pernikahan.,4,neutral,neutral
Apa yang cocok untuk cuaca panas?,"Untuk cuaca panas, coba kenakan kaos katun dengan celana pendek dan sandal.",8,neutral,neutral
Rekomendasi pakaian untuk cuaca panas?,Dress ringan dengan bahan yang menyerap keringat akan nyaman untuk cuaca panas.,8,neutral,neutral
Apa yang cocok untuk musim dingin?,"Untuk musim dingin, saya sarankan mantel tebal dengan syal dan sepatu boot.",9,neutral,neutral
Rekomendasi pakaian untuk musim dingin?,Sweater wol dengan celana panjang dan jaket tebal akan menjaga Anda tetap hangat.,9,neutral,neutral
Apa yang harus saya pakai saat hujan?,"Untuk cuaca hujan, kenakan jas hujan dengan sepatu tahan air dan payung.",10,neutral,neutral
Rekomendasi pakaian untuk cuaca hujan?,Jaket tahan air dengan celana panjang dan sepatu boot akan cocok untuk cuaca hujan.,10,neutral,neutral
Pakaian yang cocok untuk cuaca berangin?,"Untuk cuaca berangin, kenakan jaket windbreaker dengan celana panjang dan sepatu tertutup.",11,neutral,neutral
Rekomendasi pakaian untuk cuaca berangin?,Sweater dengan jaket windbreaker dan celana jeans akan nyaman untuk cuaca berangin.,11,neutral,neutral
Apa yang cocok untuk musim panas?,"Untuk musim panas, coba kenakan kaos ringan dengan celana pendek dan sandal.",8,neutral,neutral
Rekomendasi pakaian untuk musim panas?,Dress musim panas dengan bahan yang menyerap keringat akan nyaman.,8,neutral,neutral
Apa yang harus saya pakai di musim semi?,"Untuk musim semi, kenakan jaket ringan dengan kaos dan celana jeans.",14,neutral,neutral
Rekomendasi pakaian untuk musim semi?,Dress dengan motif bunga dan jaket ringan akan cocok untuk musim semi.,14,neutral,neutral
Pakaian yang cocok untuk musim gugur?,"Untuk musim gugur, kenakan sweater dengan celana panjang dan sepatu boot.",15,neutral,neutral
Rekomendasi pakaian untuk musim gugur?,Jaket kulit dengan kaos dan celana jeans akan cocok untuk musim gugur.,15,neutral,neutral
Rekomendasi jaket untuk musim dingin?,"Untuk musim dingin, saya sarankan jaket puffer yang tebal dan hangat.",9,neutral,neutral
Jaket apa yang cocok untuk cuaca berangin?,Jaket windbreaker akan melindungi Anda dari angin dan tetap nyaman.,11,neutral,neutral
Sepatu apa yang cocok untuk acara formal?,"Untuk acara formal, kenakan sepatu pantofel hitam yang elegan.",0,neutral,neutral
Rekomendasi sepatu untuk jalan-jalan?,Sepatu sneakers akan nyaman dan stylish untuk jalan-jalan.,2,neutral,neutral
Aksesoris apa yang cocok untuk gaun ini?,Kenakan kalung sederhana dan anting-anting kecil untuk melengkapi gaun Anda.,3,neutral,neutral
Rekomendasi aksesoris untuk acara formal?,Jam tangan elegan dan gelang tipis akan menambah kesan profesional pada penampilan Anda.,0,neutral,neutral
Pakaian apa yang cocok untuk pernikahan di luar ruangan?,"Untuk pernikahan di luar ruangan, kenakan dress flowy dengan bahan ringan dan sepatu wedges.",4,neutral,neutral
Apa yang harus saya pakai untuk pesta?,"Untuk pesta, coba kenakan dress berwarna cerah dengan aksesoris yang mencolok.",5,neutral,neutral
